season,period,status,model,seed,horizon_h,mae,rmse,mape,r2,coverage,interval_width
spring,2024-05,ok,dgt_directed_road_adaptive,2028.0,6.0,4.159099578857422,6.089314937591553,7.4197678565979,0.9402271509170532,0.7675189393939394,12.994608879089355
summer,2024-08,insufficient_eligible_nodes,,,,,,,,,
autumn,2024-11,ok,temporal_mlp,2026.0,1.0,3.7033472061157227,5.494917392730713,6.758957386016846,0.9498955607414246,,
autumn,2024-11,ok,temporal_mlp,2026.0,2.0,3.7978999614715576,5.645644664764404,6.876462936401367,0.9472258687019348,,
autumn,2024-11,ok,temporal_mlp,2026.0,3.0,3.925391674041748,5.795740604400635,7.153766632080078,0.9444760680198669,,
autumn,2024-11,ok,temporal_mlp,2026.0,6.0,3.917311668395996,5.807107925415039,7.162507057189941,0.9440093636512756,,
autumn,2024-11,ok,dgt_identity_adaptive,2026.0,1.0,3.6820013523101807,5.450751781463623,6.6993327140808105,0.9506977796554565,0.7755821078431373,10.698429107666016
autumn,2024-11,ok,dgt_identity_adaptive,2026.0,2.0,3.923441171646118,5.805851936340332,7.153388977050781,0.9441881775856018,0.7509191176470589,11.055611610412598
autumn,2024-11,ok,dgt_identity_adaptive,2026.0,3.0,3.9870686531066895,5.905575275421143,7.23497200012207,0.9423516988754272,0.7398897058823529,11.286418914794922
autumn,2024-11,ok,dgt_identity_adaptive,2026.0,6.0,4.472681522369385,6.459001541137695,8.178383827209473,0.9307329654693604,0.7873774509803921,13.531270027160645
autumn,2024-11,ok,dgt_directed_road_adaptive,2026.0,1.0,3.8570072650909424,5.559332370758057,6.821772575378418,0.9487139582633972,0.8091299019607843,12.29680347442627
autumn,2024-11,ok,dgt_directed_road_adaptive,2026.0,2.0,3.9722650051116943,5.83449125289917,7.226431369781494,0.9436362385749817,0.7622549019607843,11.32599925994873
autumn,2024-11,ok,dgt_directed_road_adaptive,2026.0,3.0,4.008970737457275,5.901743412017822,7.290421485900879,0.9424264430999756,0.7473958333333334,11.360974311828613
autumn,2024-11,ok,dgt_directed_road_adaptive,2026.0,6.0,4.333835601806641,6.39139986038208,8.07828140258789,0.93217533826828,0.7970281862745098,13.438972473144531
autumn,2024-11,ok,temporal_mlp,2027.0,1.0,3.7141597270965576,5.512747287750244,6.635071277618408,0.9495698809623718,,
autumn,2024-11,ok,temporal_mlp,2027.0,2.0,3.8514041900634766,5.717153072357178,7.027871131896973,0.9458804726600647,,
autumn,2024-11,ok,temporal_mlp,2027.0,3.0,3.9980387687683105,5.879904270172119,7.2060651779174805,0.9428517818450928,,
autumn,2024-11,ok,temporal_mlp,2027.0,6.0,4.094012260437012,5.984649658203125,7.444962024688721,0.9405333995819092,,
autumn,2024-11,ok,dgt_identity_adaptive,2027.0,1.0,3.7129108905792236,5.478585720062256,6.671436786651611,0.9501929879188538,0.8181678921568627,12.140437126159668
autumn,2024-11,ok,dgt_identity_adaptive,2027.0,2.0,3.947409152984619,5.856624126434326,7.35942268371582,0.9432078003883362,0.7614889705882353,10.988872528076172
autumn,2024-11,ok,dgt_identity_adaptive,2027.0,3.0,4.003118991851807,5.950201511383057,7.261453628540039,0.9414771199226379,0.7875306372549019,12.004287719726562
autumn,2024-11,ok,dgt_identity_adaptive,2027.0,6.0,4.314754962921143,6.343405246734619,7.921919822692871,0.933190107345581,0.7758884803921569,12.603927612304688
autumn,2024-11,ok,dgt_directed_road_adaptive,2027.0,1.0,3.7281272411346436,5.492464065551758,6.698424339294434,0.9499403238296509,0.8216911764705882,12.181997299194336
autumn,2024-11,ok,dgt_directed_road_adaptive,2027.0,2.0,3.981457233428955,5.886972904205322,7.49351692199707,0.942617654800415,0.7706801470588235,11.204575538635254
autumn,2024-11,ok,dgt_directed_road_adaptive,2027.0,3.0,4.00750732421875,5.956416606903076,7.264323711395264,0.9413548111915588,0.7896752450980392,12.057866096496582
autumn,2024-11,ok,dgt_directed_road_adaptive,2027.0,6.0,4.336219787597656,6.369463920593262,7.9811787605285645,0.9326400756835938,0.7754289215686274,12.614060401916504
