hypothesis,comparison,horizon,mean_model_mae,mean_reference_mae,mean_paired_mae_difference,relative_mae_difference_pct,bootstrap_ci95_low,bootstrap_ci95_high,bootstrap_replicates,bootstrap_seed,raw_p,holm_p
H1,dgt_directed_road_adaptive vs temporal_mlp,+1h,3.6804342288661887,3.698553202494427,-0.01811897362823851,-0.4898935512410176,-0.17604872661608248,0.11200233399868002,10000,20260814,0.5,
H2,dgt_directed_road_adaptive vs dgt_identity_adaptive,+1h,3.6804342288661887,3.6597486202363614,0.020685608629827,0.5652193846169496,-0.028053591538358714,0.0699715419251605,10000,20260814,0.9033203125,1.0
H4_2h,dgt_directed_road_adaptive vs temporal_mlp,+2h,3.875020103008427,3.842273768966405,0.03274633404202203,0.8522644665903375,-0.1085195449883476,0.15752364348883593,10000,20260814,0.75390625,1.0
H4_3h,dgt_directed_road_adaptive vs temporal_mlp,+3h,3.940580652119621,3.979539445676501,-0.03895879355687937,-0.9789774442167144,-0.14947654804705657,0.03755014883147374,10000,20260814,0.34765625,1.0
H4_6h,dgt_directed_road_adaptive vs temporal_mlp,+6h,4.245338213285387,4.106107077862248,0.13923113542313933,3.390830603853287,-0.10864211549793454,0.35175157653161404,10000,20260814,0.9755859375,1.0
H3,(+1h DGT-vs-MLP effect) vs (+6h DGT-vs-MLP effect),+1h vs +6h,,,-0.15735010905137786,-3.880724155094305,-0.2538551834954261,-0.03826029910653528,10000,20260814,0.013671875,0.068359375
