period,model,seed,horizon_h,origin_timestamp,target_timestamp,target_date,mae_across_nodes
2024-05,historical_average,-1,3,2024-05-26 03:00:00,2024-05-26 05:00:00,2024-05-26,6.312499523162842
2024-05,historical_average,-1,6,2024-05-26 03:00:00,2024-05-26 08:00:00,2024-05-26,3.015625238418579
2024-05,historical_average,-1,1,2024-05-26 04:00:00,2024-05-26 04:00:00,2024-05-26,5.84375
2024-05,historical_average,-1,2,2024-05-26 04:00:00,2024-05-26 05:00:00,2024-05-26,6.312499523162842
2024-05,historical_average,-1,3,2024-05-26 04:00:00,2024-05-26 06:00:00,2024-05-26,4.442708969116211
2024-05,historical_average,-1,6,2024-05-26 04:00:00,2024-05-26 09:00:00,2024-05-26,4.312500476837158
2024-05,historical_average,-1,1,2024-05-26 05:00:00,2024-05-26 05:00:00,2024-05-26,6.312499523162842
2024-05,historical_average,-1,2,2024-05-26 05:00:00,2024-05-26 06:00:00,2024-05-26,4.442708969116211
2024-05,historical_average,-1,3,2024-05-26 05:00:00,2024-05-26 07:00:00,2024-05-26,2.8385419845581055
2024-05,historical_average,-1,6,2024-05-26 05:00:00,2024-05-26 10:00:00,2024-05-26,3.8802084922790527
2024-05,historical_average,-1,1,2024-05-26 06:00:00,2024-05-26 06:00:00,2024-05-26,4.442708969116211
2024-05,historical_average,-1,2,2024-05-26 06:00:00,2024-05-26 07:00:00,2024-05-26,2.8385419845581055
2024-05,historical_average,-1,3,2024-05-26 06:00:00,2024-05-26 08:00:00,2024-05-26,3.015625238418579
2024-05,historical_average,-1,6,2024-05-26 06:00:00,2024-05-26 11:00:00,2024-05-26,3.765625476837158
2024-05,historical_average,-1,1,2024-05-26 07:00:00,2024-05-26 07:00:00,2024-05-26,2.8385419845581055
2024-05,historical_average,-1,2,2024-05-26 07:00:00,2024-05-26 08:00:00,2024-05-26,3.015625238418579
2024-05,historical_average,-1,3,2024-05-26 07:00:00,2024-05-26 09:00:00,2024-05-26,4.312500476837158
2024-05,historical_average,-1,6,2024-05-26 07:00:00,2024-05-26 12:00:00,2024-05-26,3.8125
2024-05,historical_average,-1,1,2024-05-26 08:00:00,2024-05-26 08:00:00,2024-05-26,3.015625238418579
2024-05,historical_average,-1,2,2024-05-26 08:00:00,2024-05-26 09:00:00,2024-05-26,4.312500476837158
2024-05,historical_average,-1,3,2024-05-26 08:00:00,2024-05-26 10:00:00,2024-05-26,3.8802084922790527
2024-05,historical_average,-1,6,2024-05-26 08:00:00,2024-05-26 13:00:00,2024-05-26,3.3854165077209473
2024-05,historical_average,-1,1,2024-05-26 09:00:00,2024-05-26 09:00:00,2024-05-26,4.312500476837158
2024-05,historical_average,-1,2,2024-05-26 09:00:00,2024-05-26 10:00:00,2024-05-26,3.8802084922790527
2024-05,historical_average,-1,3,2024-05-26 09:00:00,2024-05-26 11:00:00,2024-05-26,3.765625476837158
2024-05,historical_average,-1,6,2024-05-26 09:00:00,2024-05-26 14:00:00,2024-05-26,2.4947915077209473
2024-05,historical_average,-1,1,2024-05-26 10:00:00,2024-05-26 10:00:00,2024-05-26,3.8802084922790527
2024-05,historical_average,-1,2,2024-05-26 10:00:00,2024-05-26 11:00:00,2024-05-26,3.765625476837158
2024-05,historical_average,-1,3,2024-05-26 10:00:00,2024-05-26 12:00:00,2024-05-26,3.8125
2024-05,historical_average,-1,6,2024-05-26 10:00:00,2024-05-26 15:00:00,2024-05-26,3.6197917461395264
2024-05,historical_average,-1,1,2024-05-26 11:00:00,2024-05-26 11:00:00,2024-05-26,3.765625476837158
2024-05,historical_average,-1,2,2024-05-26 11:00:00,2024-05-26 12:00:00,2024-05-26,3.8125
2024-05,historical_average,-1,3,2024-05-26 11:00:00,2024-05-26 13:00:00,2024-05-26,3.3854165077209473
2024-05,historical_average,-1,6,2024-05-26 11:00:00,2024-05-26 16:00:00,2024-05-26,4.125000476837158
2024-05,historical_average,-1,1,2024-05-26 12:00:00,2024-05-26 12:00:00,2024-05-26,3.8125
2024-05,historical_average,-1,2,2024-05-26 12:00:00,2024-05-26 13:00:00,2024-05-26,3.3854165077209473
2024-05,historical_average,-1,3,2024-05-26 12:00:00,2024-05-26 14:00:00,2024-05-26,2.4947915077209473
2024-05,historical_average,-1,6,2024-05-26 12:00:00,2024-05-26 17:00:00,2024-05-26,2.7083330154418945
2024-05,historical_average,-1,1,2024-05-26 13:00:00,2024-05-26 13:00:00,2024-05-26,3.3854165077209473
2024-05,historical_average,-1,2,2024-05-26 13:00:00,2024-05-26 14:00:00,2024-05-26,2.4947915077209473
2024-05,historical_average,-1,3,2024-05-26 13:00:00,2024-05-26 15:00:00,2024-05-26,3.6197917461395264
2024-05,historical_average,-1,6,2024-05-26 13:00:00,2024-05-26 18:00:00,2024-05-26,3.7135419845581055
2024-05,historical_average,-1,1,2024-05-26 14:00:00,2024-05-26 14:00:00,2024-05-26,2.4947915077209473
2024-05,historical_average,-1,2,2024-05-26 14:00:00,2024-05-26 15:00:00,2024-05-26,3.6197917461395264
2024-05,historical_average,-1,3,2024-05-26 14:00:00,2024-05-26 16:00:00,2024-05-26,4.125000476837158
2024-05,historical_average,-1,6,2024-05-26 14:00:00,2024-05-26 19:00:00,2024-05-26,3.3125
2024-05,historical_average,-1,1,2024-05-26 15:00:00,2024-05-26 15:00:00,2024-05-26,3.6197917461395264
2024-05,historical_average,-1,2,2024-05-26 15:00:00,2024-05-26 16:00:00,2024-05-26,4.125000476837158
2024-05,historical_average,-1,3,2024-05-26 15:00:00,2024-05-26 17:00:00,2024-05-26,2.7083330154418945
2024-05,historical_average,-1,6,2024-05-26 15:00:00,2024-05-26 20:00:00,2024-05-26,3.6927080154418945
2024-05,historical_average,-1,1,2024-05-26 16:00:00,2024-05-26 16:00:00,2024-05-26,4.125000476837158
