sensor_id,selection_order,role,anchor_id,anchor_order,neighbor_rank,distance_to_anchor_km,train_coverage,post_train_coverage,latitude,longitude
sxkcvs,21,local_neighbor,sxkcvv,5,1,1.104592351425833,0.9920477137176938,0.9815668202764977,41.1135864257813,29.4268798828125
sxk6g1,22,local_neighbor,sxk6g4,6,1,0.6108128186653576,0.9860834990059643,0.9815668202764977,41.2728881835938,28.6138916015625
sx7chm,23,local_neighbor,sx7chk,7,1,0.610812818666065,0.9980119284294234,1.0,40.9872436523438,27.9656982421875
sxk8zd,24,local_neighbor,sxk8z9,8,1,0.6108128186653576,0.9980119284294234,1.0,40.9268188476563,29.1632080078125
sxkdqe,25,local_neighbor,sxkdqg,9,1,0.9192257427445732,0.9980119284294234,1.0,41.1959838867188,29.1192626953125
sx7fpy,26,local_neighbor,sx7fpz,10,1,0.6108128186653576,0.9980119284294234,1.0,41.1685180664063,28.1195068359375
sxk36s,27,local_neighbor,sxk36u,11,1,0.9216130434466264,1.0,1.0,41.0256958007813,28.5919189453125
sxkd89,28,local_neighbor,sxkd8d,12,1,0.6108128186653576,0.9980119284294234,1.0,41.2289428710938,28.8555908203125
sxkbuv,29,local_neighbor,sxkbvj,13,1,0.92276526766143,0.9920477137176938,0.9861751152073732,40.9432983398438,29.3939208984375
sxk4r9,30,local_neighbor,sxk4r8,14,1,0.6108128186653576,0.9880715705765407,0.9769585253456221,41.1849975585938,28.4600830078125
sxk9t8,31,local_neighbor,sxk9t9,15,1,0.6108128186653576,0.9980119284294234,1.0,41.0476684570313,29.0753173828125
sxkc6p,32,local_neighbor,sxkcd0,16,1,0.6108128186653576,1.0,1.0,41.0421752929688,29.2730712890625
sxk994,33,local_neighbor,sxk991,1,2,0.610812818666065,1.0,1.0,41.0586547851563,28.8775634765625
sx7ghk,34,local_neighbor,sx7ghq,2,2,1.2216256373314225,0.9960238568588469,0.9907834101382489,41.3333129882813,27.9656982421875
sxhzvq,35,local_neighbor,sxhzvt,3,2,1.1086243584961275,0.9940357852882704,0.9953917050691244,40.7730102539063,29.4158935546875
sxk1t4,36,local_neighbor,sxk1sf,4,2,0.9211516199374128,0.9980119284294234,1.0,41.0586547851563,28.3502197265625
sxkcve,37,local_neighbor,sxkcvv,5,2,1.5295332743973769,0.9920477137176938,0.9907834101382489,41.1080932617188,29.4268798828125
sxk6g7,38,local_neighbor,sxk6g4,6,2,1.1026647844571558,0.9900596421471173,0.9861751152073732,41.2838745117188,28.6248779296875
sx7cht,39,local_neighbor,sx7chk,7,2,1.1061309034868365,0.9960238568588469,1.0,40.9872436523438,27.9766845703125
sxk8z8,40,local_neighbor,sxk8z9,8,2,0.610812818666065,1.0,0.9953917050691244,40.9158325195313,29.1632080078125
sxkdr5,41,local_neighbor,sxkdqg,9,2,0.9192257427445732,1.0,1.0,41.1959838867188,29.1412353515625
sx7frb,42,local_neighbor,sx7fpz,10,2,0.610812818666065,0.9980119284294234,1.0,41.1795043945313,28.1195068359375
sxk37h,43,local_neighbor,sxk36u,11,2,0.9216130434468932,1.0,1.0,41.0256958007813,28.6138916015625
sxkd8f,44,local_neighbor,sxkd8d,12,2,0.9186855503294376,1.0,1.0,41.2344360351563,28.8665771484375
sxkbuy,45,local_neighbor,sxkbvj,13,2,1.106579058427687,0.9860834990059643,0.9907834101382489,40.9487915039063,29.3939208984375
sxk4px,46,local_neighbor,sxk4r8,14,2,0.610812818666065,0.9980119284294234,1.0,41.1740112304688,28.4600830078125
