sensor_id,selection_order,role,anchor_id,anchor_order,neighbor_rank,distance_to_anchor_km,train_coverage,post_train_coverage,latitude,longitude
sxhzvq,35,local_neighbor,sxhzvt,3,2,1.1086243584961275,0.9980769230769231,0.7857142857142857,40.7730102539063,29.4158935546875
sxk1t4,36,local_neighbor,sxk1sf,4,2,0.9211516199374128,0.9980769230769231,0.7857142857142857,41.0586547851563,28.3502197265625
sxkcv7,37,local_neighbor,sxkcvs,5,2,1.1046565200712193,0.9903846153846154,0.7633928571428571,41.1080932617188,29.4158935546875
sxk6g7,38,local_neighbor,sxk6g5,6,2,0.9179904092656228,0.9884615384615385,0.7767857142857143,41.2838745117188,28.6248779296875
sx7cht,39,local_neighbor,sx7chk,7,2,1.1061309034868365,0.9980769230769231,0.7857142857142857,40.9872436523438,27.9766845703125
sxk8z8,40,local_neighbor,sxk8z9,8,2,0.610812818666065,0.9980769230769231,0.7857142857142857,40.9158325195313,29.1632080078125
sxkdr5,41,local_neighbor,sxkdqg,9,2,0.9192257427445732,0.9980769230769231,0.7857142857142857,41.1959838867188,29.1412353515625
sx7frb,42,local_neighbor,sx7fpz,10,2,0.610812818666065,0.9980769230769231,0.7857142857142857,41.1795043945313,28.1195068359375
sxk37h,43,local_neighbor,sxk36u,11,2,0.9216130434468932,0.9980769230769231,0.7857142857142857,41.0256958007813,28.6138916015625
sxkd8f,44,local_neighbor,sxkd8d,12,2,0.9186855503294376,0.9980769230769231,0.7857142857142857,41.2344360351563,28.8665771484375
sxkbvj,45,local_neighbor,sxkbuv,13,2,0.92276526766143,0.9884615384615385,0.7857142857142857,40.9432983398438,29.4049072265625
sxk4px,46,local_neighbor,sxk4pz,14,2,0.9195342382547856,0.9980769230769231,0.7857142857142857,41.1740112304688,28.4600830078125
sxk9td,47,local_neighbor,sxk9t9,15,2,0.610812818666065,0.9980769230769231,0.7857142857142857,41.0586547851563,29.0753173828125
sxkcd0,48,local_neighbor,sxkc9b,16,2,0.9213054616495593,0.9980769230769231,0.7857142857142857,41.0476684570313,29.2730712890625
sxk98c,49,local_neighbor,sxk991,1,3,0.9212285450273536,0.9980769230769231,0.7857142857142857,41.0531616210938,28.8665771484375
sx7ghe,50,local_neighbor,sx7ghq,2,3,2.0491922984687494,0.9961538461538462,0.7767857142857143,41.3278198242188,27.9766845703125
sxhzvr,51,local_neighbor,sxhzvt,3,3,1.5324014155946253,0.9980769230769231,0.7857142857142857,40.7785034179688,29.4158935546875
sxk1se,52,local_neighbor,sxk1sf,4,3,1.1052337943568336,0.9980769230769231,0.7857142857142857,41.0641479492188,28.3282470703125
sxkcv6,53,local_neighbor,sxkcvs,5,3,1.5295796154965773,0.9923076923076923,0.7589285714285714,41.1026000976563,29.4158935546875
sxk6g1,54,local_neighbor,sxk6g5,6,3,1.2216256373314225,0.9826923076923076,0.7723214285714286,41.2728881835938,28.6138916015625
sx7chw,55,local_neighbor,sx7chk,7,3,1.5305984545895726,0.9980769230769231,0.7857142857142857,40.9927368164063,27.9766845703125
sxk8z3,56,local_neighbor,sxk8z9,8,3,0.9230722052397666,0.9980769230769231,0.7857142857142857,40.9213256835938,29.1522216796875
sxkdqs,57,local_neighbor,sxkdqg,9,3,1.1036291737685757,0.9980769230769231,0.7857142857142857,41.2014770507813,29.1192626953125
sx7fr8,58,local_neighbor,sx7fpz,10,3,1.1038861398146036,0.9980769230769231,0.7857142857142857,41.1795043945313,28.1085205078125
sxk36k,59,local_neighbor,sxk36u,11,3,1.8432260832436085,0.9980769230769231,0.7857142857142857,41.0256958007813,28.5809326171875
sxkd86,60,local_neighbor,sxkd8d,12,3,0.9186855503299695,0.9980769230769231,0.7857142857142857,41.2344360351563,28.8446044921875
sxkbut,61,local_neighbor,sxkbuv,13,3,0.9227652676619641,0.9980769230769231,0.7857142857142857,40.9432983398438,29.3829345703125
sxk60n,62,local_neighbor,sxk4pz,14,3,1.1039503678522806,0.9980769230769231,0.7857142857142857,41.1685180664063,28.4820556640625
sxk9t3,63,local_neighbor,sxk9t9,15,3,0.9212285450273536,0.9884615384615385,0.78125,41.0531616210938,29.0643310546875
sxkcd1,64,local_neighbor,sxkc9b,16,3,1.1053620179413284,0.9980769230769231,0.7857142857142857,41.0531616210938,29.2730712890625
