sensor_id,selection_order,role,anchor_id,anchor_order,neighbor_rank,distance_to_anchor_km,train_coverage,post_train_coverage,latitude,longitude
sxk991,1,anchor,sxk991,1,0,0.0,0.9980769230769231,0.7857142857142857,41.0531616210938,28.8775634765625
sx7ghq,2,anchor,sx7ghq,2,0,0.0,0.9903846153846154,0.7857142857142857,41.3442993164063,27.9656982421875
sxhzvt,3,anchor,sxhzvt,3,0,0.0,0.9980769230769231,0.7857142857142857,40.7675170898438,29.4268798828125
sxk1sf,4,anchor,sxk1sf,4,0,0.0,0.9980769230769231,0.7857142857142857,41.0586547851563,28.3392333984375
sxkcvs,5,anchor,sxkcvs,5,0,0.0,0.9903846153846154,0.7589285714285714,41.1135864257813,29.4268798828125
sxk6g5,6,anchor,sxk6g5,6,0,0.0,0.9807692307692307,0.7678571428571429,41.2838745117188,28.6138916015625
sx7chk,7,anchor,sx7chk,7,0,0.0,0.9980769230769231,0.7857142857142857,40.9817504882813,27.9656982421875
sxk8z9,8,anchor,sxk8z9,8,0,0.0,0.9980769230769231,0.7857142857142857,40.9213256835938,29.1632080078125
sxkdqg,9,anchor,sxkdqg,9,0,0.0,0.9961538461538462,0.7857142857142857,41.1959838867188,29.1302490234375
sx7fpz,10,anchor,sx7fpz,10,0,0.0,0.9980769230769231,0.7857142857142857,41.1740112304688,28.1195068359375
sxk36u,11,anchor,sxk36u,11,0,0.0,0.9980769230769231,0.7857142857142857,41.0256958007813,28.6029052734375
sxkd8d,12,anchor,sxkd8d,12,0,0.0,0.9980769230769231,0.7857142857142857,41.2344360351563,28.8555908203125
sxkbuv,13,anchor,sxkbuv,13,0,0.0,0.9980769230769231,0.7857142857142857,40.9432983398438,29.3939208984375
sxk4pz,14,anchor,sxk4pz,14,0,0.0,0.9942307692307693,0.78125,41.1740112304688,28.4710693359375
sxk9t9,15,anchor,sxk9t9,15,0,0.0,0.9980769230769231,0.7857142857142857,41.0531616210938,29.0753173828125
sxkc9b,16,anchor,sxkc9b,16,0,0.0,0.9980769230769231,0.7857142857142857,41.0476684570313,29.2620849609375
sxk990,17,local_neighbor,sxk991,1,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,41.0476684570313,28.8775634765625
sx7ghm,18,local_neighbor,sx7ghq,2,1,0.6108128186653576,0.9961538461538462,0.7857142857142857,41.3388061523438,27.9656982421875
sxhzvw,19,local_neighbor,sxhzvt,3,1,0.610812818666065,0.9980769230769231,0.7857142857142857,40.7730102539063,29.4268798828125
sxk1sg,20,local_neighbor,sxk1sf,4,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,41.0641479492188,28.3392333984375
sxkcve,21,local_neighbor,sxkcvs,5,1,0.6108128186653576,0.9923076923076923,0.7633928571428571,41.1080932617188,29.4268798828125
sxk6g4,22,local_neighbor,sxk6g5,6,1,0.610812818666065,0.9826923076923076,0.7767857142857143,41.2783813476563,28.6138916015625
sx7chm,23,local_neighbor,sx7chk,7,1,0.610812818666065,0.9980769230769231,0.7857142857142857,40.9872436523438,27.9656982421875
sxk8zd,24,local_neighbor,sxk8z9,8,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,40.9268188476563,29.1632080078125
sxkdqe,25,local_neighbor,sxkdqg,9,1,0.9192257427445732,0.9980769230769231,0.7857142857142857,41.1959838867188,29.1192626953125
sx7fpy,26,local_neighbor,sx7fpz,10,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,41.1685180664063,28.1195068359375
sxk36s,27,local_neighbor,sxk36u,11,1,0.9216130434466264,0.9980769230769231,0.7857142857142857,41.0256958007813,28.5919189453125
sxkd89,28,local_neighbor,sxkd8d,12,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,41.2289428710938,28.8555908203125
sxkbuy,29,local_neighbor,sxkbuv,13,1,0.610812818666065,0.9903846153846154,0.7857142857142857,40.9487915039063,29.3939208984375
sxk4py,30,local_neighbor,sxk4pz,14,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,41.1685180664063,28.4710693359375
sxk9t8,31,local_neighbor,sxk9t9,15,1,0.6108128186653576,0.9980769230769231,0.7857142857142857,41.0476684570313,29.0753173828125
sxkc98,32,local_neighbor,sxkc9b,16,1,0.9213054616495593,0.9980769230769231,0.7857142857142857,41.0476684570313,29.2510986328125
sxk994,33,local_neighbor,sxk991,1,2,0.610812818666065,0.9980769230769231,0.7857142857142857,41.0586547851563,28.8775634765625
sx7ghk,34,local_neighbor,sx7ghq,2,2,1.2216256373314225,0.9980769230769231,0.7857142857142857,41.3333129882813,27.9656982421875
